date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:34:31	8784/8784	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2010%20Mar%202023%2014:02:46%20GMT	https://www.classcentral.com/webpack/analytics.2edefc668ab4db842c41.js	C:/Users/Alipser/Desktop/Nueva%20carpeta/'C__Users_Alipser_Desktop_Nueva%20carpeta'/www.classcentral.com/webpack/analytics.2edefc668ab4db842c41.js	(from )
02:34:32	31697/31697	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2010%20Mar%202023%2014:02:46%20GMT	https://www.classcentral.com/webpack/7540.b7f3ab16c1d7d344980b.js	C:/Users/Alipser/Desktop/Nueva%20carpeta/'C__Users_Alipser_Desktop_Nueva%20carpeta'/www.classcentral.com/webpack/7540.b7f3ab16c1d7d344980b.js	(from )
02:34:33	33553/33553	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2010%20Mar%202023%2014:04:33%20GMT	https://www.classcentral.com/webpack/Auth.44e05080311528b179c7.js	C:/Users/Alipser/Desktop/Nueva%20carpeta/'C__Users_Alipser_Desktop_Nueva%20carpeta'/www.classcentral.com/webpack/Auth.44e05080311528b179c7.js	(from )
02:34:35	19264/19264	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2010%20Mar%202023%2014:02:46%20GMT	https://www.classcentral.com/webpack/MarkComplete.e9560adcebc4ad54e6bf.js	C:/Users/Alipser/Desktop/Nueva%20carpeta/'C__Users_Alipser_Desktop_Nueva%20carpeta'/www.classcentral.com/webpack/MarkComplete.e9560adcebc4ad54e6bf.js	(from )
02:34:37	28963/28963	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2010%20Mar%202023%2014:04:33%20GMT	https://www.classcentral.com/webpack/UserActions.30ee83ef27eafec0be61.js	C:/Users/Alipser/Desktop/Nueva%20carpeta/'C__Users_Alipser_Desktop_Nueva%20carpeta'/www.classcentral.com/webpack/UserActions.30ee83ef27eafec0be61.js	(from )
02:34:39	659444/659444	U--MCZ	200	updated ('OK')	text/html	date:Sun,%2012%20Mar%202023%2007:34:31%20GMT	https://www.classcentral.com/	C:/Users/Alipser/Desktop/Nueva%20carpeta/'C__Users_Alipser_Desktop_Nueva%20carpeta'/www.classcentral.com/index.html	(from )
02:34:40	39980/39980	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2010%20Mar%202023%2014:02:46%20GMT	https://www.classcentral.com/webpack/4826.ea570b7100e8c5e53e11.js	C:/Users/Alipser/Desktop/Nueva%20carpeta/'C__Users_Alipser_Desktop_Nueva%20carpeta'/www.classcentral.com/webpack/4826.ea570b7100e8c5e53e11.js	(from )
02:34:40	15669/15669	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2010%20Mar%202023%2014:02:46%20GMT	https://www.classcentral.com/webpack/Misc.a66f8a686e276f997313.js	C:/Users/Alipser/Desktop/Nueva%20carpeta/'C__Users_Alipser_Desktop_Nueva%20carpeta'/www.classcentral.com/webpack/Misc.a66f8a686e276f997313.js	(from )
02:34:40	975/975	U-----	200	untouched ('')	image/png	date:Fri,%2010%20Mar%202023%2014:04:33%20GMT	https://www.classcentral.com/favicon-32x32.png	C:/Users/Alipser/Desktop/Nueva%20carpeta/'C__Users_Alipser_Desktop_Nueva%20carpeta'/www.classcentral.com/favicon-32x32.png	(from )
02:34:40	219/219	U-----	200	untouched ('OK')	text/plain	etag:W/%22640b38f1-154%22	https://www.classcentral.com/robots.txt		(from )
02:34:42	1960/1960	U--MCZ	200	updated ('OK')	image/svg+xml	etag:W/%22640b38f1-7a8%22	https://www.classcentral.com/safari-pinned-tab.svg	C:/Users/Alipser/Desktop/Nueva%20carpeta/'C__Users_Alipser_Desktop_Nueva%20carpeta'/www.classcentral.com/safari-pinned-tab.svg	(from https://www.classcentral.com/)
02:34:43	913/913	U--MCZ	200	updated ('OK')	text/xml	etag:W/%22640b3886-391%22	https://www.classcentral.com/opensearch.xml	C:/Users/Alipser/Desktop/Nueva%20carpeta/'C__Users_Alipser_Desktop_Nueva%20carpeta'/www.classcentral.com/opensearch.xml	(from https://www.classcentral.com/)
02:34:44	11/11	---M--	400	error ('Bad%20Request')	text/plain		https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fbest-courses%2Fmini-banner-best-of-all-time.png?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=d9866ee3df3a50272132b746506802ee	C:/Users/Alipser/Desktop/Nueva%20carpeta/'C__Users_Alipser_Desktop_Nueva%20carpeta'/ccweb.imgix.net/https_/www.classcentral.com/images/best-courses/mini-banner-best-of-all-time3e68.png	(from https://www.classcentral.com/)
02:34:45	11/11	---M--	400	error ('Bad%20Request')	text/plain		https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fbest-courses%2Fmini-banner-most-popular-of-all-time.png?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=6b9b3ca668420c3d807c332c51ee7f2c	C:/Users/Alipser/Desktop/Nueva%20carpeta/'C__Users_Alipser_Desktop_Nueva%20carpeta'/ccweb.imgix.net/https_/www.classcentral.com/images/best-courses/mini-banner-most-popular-of-all-time0931.png	(from https://www.classcentral.com/)
02:34:45	11/11	---M--	400	error ('Bad%20Request')	text/plain		https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-ivy-league-moocs-social.jpg?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=0d3af0d0d31cdbdc684a726b330a759f	C:/Users/Alipser/Desktop/Nueva%20carpeta/'C__Users_Alipser_Desktop_Nueva%20carpeta'/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-ivy-league-moocs-social5b92.jpg	(from https://www.classcentral.com/)
02:34:46	11/11	---M--	400	error ('Bad%20Request')	text/plain		https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-coursera-free-courses.png?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=dbef6e5a11e80f652ab6a5ce5eb593b8	C:/Users/Alipser/Desktop/Nueva%20carpeta/'C__Users_Alipser_Desktop_Nueva%20carpeta'/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-coursera-free-coursesd038.png	(from https://www.classcentral.com/)
02:34:47	11/11	---M--	400	error ('Bad%20Request')	text/plain		https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-free-certificates.png?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=f880669c2a69683d851d6be4ee71652e	C:/Users/Alipser/Desktop/Nueva%20carpeta/'C__Users_Alipser_Desktop_Nueva%20carpeta'/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-free-certificates7462.png	(from https://www.classcentral.com/)
02:34:47	11/11	---M--	400	error ('Bad%20Request')	text/plain		https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-google-certs.png?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=0d0859ee6dce9cd586fcc06d2e5d34ec	C:/Users/Alipser/Desktop/Nueva%20carpeta/'C__Users_Alipser_Desktop_Nueva%20carpeta'/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-google-certsa0be.png	(from https://www.classcentral.com/)
